State/UT,Length in kms.,Proposed no.of centres
Andhra Pradesh,4537,91
Assam,2940,59
Bihar,4106,83
Chhattisgarh,2289,46
Goa,269,6
Gujarat,4032,81
Haryana,1633,33
Himachal Pradesh,1506,31
Jharkhand,2170,44
Karnataka,4396,88
Kerala,1457,30
Madhya Pradesh,5064,102
Maharashtra,4257,86
Manipur,1317,27
Meghalaya,1171,24
Mizoram,1027,21
Nagaland,494,10
Odisha,3704,75
Punjab,1557,32
Rajasthan,7130,143
Sikkim,149,3
Tamil Nadu,4943,99
Tripura,400,8
Uttarakhand,2042,41
Uttar Pradesh,7818,157
West Bengal,2681,54
Andaman and Nicobar Islands,300,6
Andaman and Nicobar Islands,300,6
Chandigarh,24,1
Delhi,80,2
Puducherry,53,2
